Complexity level,1,2,3,4
Average Runtime zooming,7.59,11.92,18.29,31.97
Average Runtime non_zooming,7.8,15.79,,
Average Runtime Ratio,1.03,1.33,4,4
Average Planning Time zooming,4.55,6.27,8.61,12.95
Average Planning Time non_zooming,4.76,9.46,,
Avarage Planning Time Ratio,1.05,1.5,,
Average Num Abstract Plans zooming,1,1,1,1
Average Num Abstract Plans non_zooming,1,1,,
Average Num Abstract Actions zooming,2.56,3.22,3.87,4.44
Average Num Abstract Actions non_zooming,2.56,3.22,,
Average Num Refined Plans zooming,3.09,4.26,5.26,6.29
Average Num Refined Plans non_zooming,3.09,4.27,,
Average Num Refined Actions zooming,9.76,18.47,28.63,42.85
Average Num Refined Actions non_zooming,9.76,18.6,,
Percentage Completed Goals zooming,100%,100%,100%,100%
Percentage Completed Goals non_zooming,100%,100%,0%,0%
Percentage Timeouts non_ zooming,0%,0%,52%,31%
Percentage Too Many Answers non_zooming,0%,0%,48%,69%
