Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,,Planning Time - zooming,Planning Time non_zooming,,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
Average,,,7.804,1.0281500844,4.5509,4.7684,1.047780738,0.3634,1,3.095,2.565,9.76,#DIV/0!,0.36055,1,3.095,2.565,9.7738693467,#DIV/0!
1,1,7.8,8.11,1.0397435897,4.77,5.14,1.0775681342,0.38,1,3,3,7,C,0.39,1,3,3,7,C
2,1,9.35,9.6,1.0267379679,5.23,5.51,1.0535372849,0.39,1,4,3,15,C,0.35,1,4,3,15,C
3,1,6.12,6.37,1.0408496732,3.76,4,1.0638297872,0.33,1,2,2,7,C,0.34,1,2,2,7,C
4,1,6.55,6.61,1.0091603053,4.16,4.25,1.0216346154,0.36,1,3,2,9,C,0.34,1,3,2,9,C
5,1,8.83,9.25,1.0475651189,5.15,5.49,1.0660194175,0.38,1,4,3,13,C,0.37,1,4,3,13,C
6,1,9.03,9.05,1.0022148394,5.25,5.33,1.0152380952,0.37,1,4,3,13,C,0.34,1,4,3,13,C
7,1,6.91,6.95,1.005788712,4.1,4.22,1.0292682927,0.38,1,3,2,11,C,0.37,1,3,2,11,C
8,1,6.07,6.28,1.0345963756,3.72,3.92,1.0537634409,0.35,1,2,2,7,C,0.36,1,2,2,7,C
9,1,6.52,6.7,1.027607362,4.1,4.36,1.0634146341,0.36,1,3,2,9,C,0.38,1,3,2,9,C
10,1,6.56,6.67,1.0167682927,4.13,4.3,1.0411622276,0.38,1,3,2,9,C,0.37,1,3,2,9,C
11,1,5.69,5.96,1.0474516696,3.74,3.94,1.0534759358,0.33,1,2,2,5,C,0.36,1,2,2,5,C
12,1,8.19,8.3,1.0134310134,4.89,4.99,1.0204498978,0.34,1,3,3,9,C,0.37,1,3,3,9,C
13,1,5.69,5.89,1.0351493849,3.71,3.87,1.0431266846,0.34,1,2,2,5,C,0.35,1,2,2,5,C
14,1,5.73,5.88,1.0261780105,3.72,3.86,1.0376344086,0.34,1,2,2,5,C,0.38,1,2,2,5,C
15,1,8.11,8.35,1.0295930949,4.81,5.02,1.0436590437,0.35,1,3,3,9,C,0.35,1,3,3,9,C
16,1,9.31,9.66,1.037593985,5.28,5.58,1.0568181818,0.38,1,4,3,15,C,0.37,1,4,3,15,C
17,1,6.82,7,1.0263929619,4.07,4.26,1.0466830467,0.36,1,3,2,11,C,0.38,1,3,2,11,C
