Trial Number,Complexity Level,Run-time zooming,Planning Time - zooming,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Run-time non_zooming,Planning Time non_zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
1,2,7.62,4.66,0.39,1,3,2,9,C,9.89,6.66,0.65,1,3,2,9,C
2,2,8.85,4.75,0.38,1,4,2,20,C,13.33,8.66,0.59,1,4,2,20,C
3,2,11.36,5.98,0.50,1,5,3,22,C,15.99,10.00,0.59,1,5,3,22,C
4,2,13.23,7.16,0.39,1,4,4,15,C,17.74,10.81,0.57,1,4,4,15,C
5,2,10.86,5.53,0.54,1,4,3,17,C,14.03,8.03,0.67,1,4,3,17,C
6,2,8.56,4.91,0.41,1,4,2,18,C,9.95,6.73,0.61,1,3,2,9,C
7,2,15.90,8.05,0.50,1,6,4,30,C,20.35,11.62,0.76,1,6,4,30,C
8,2,14.82,7.49,0.49,1,5,4,23,C,19.49,10.93,0.72,1,5,4,23,C
9,2,16.01,7.87,0.50,1,6,4,32,C,22.29,12.60,0.63,1,6,4,32,C
10,2,20.60,10.69,0.51,1,7,5,34,C,25.92,14.62,0.72,1,7,5,34,C
11,2,15.07,7.72,0.49,1,5,4,21,C,19.42,11.11,0.81,1,5,4,21,C
12,2,7.79,4.60,0.35,1,3,2,11,C,9.66,6.09,0.53,1,3,2,11,C
13,2,10.84,5.55,0.37,1,4,3,17,C,14.86,8.53,0.58,1,4,3,17,C
14,2,15.33,8.01,0.46,1,6,4,28,C,20.51,12.33,0.62,1,6,4,28,C
15,2,14.06,7.59,0.47,1,5,4,19,C,19.22,11.85,0.61,1,5,4,19,C
16,2,9.82,5.08,0.36,1,3,3,13,C,12.48,7.20,0.54,1,3,3,13,C
17,2,12.35,6.15,0.47,1,5,3,26,C,16.11,9.17,0.72,1,5,3,26,C
18,2,15.54,7.98,0.50,1,6,4,28,C,20.78,12.23,0.70,1,6,4,28,C
19,2,10.17,5.63,0.50,1,4,3,13,C,14.44,9.14,0.62,1,4,3,13,C
20,2,9.84,5.10,0.38,1,3,3,13,C,13.30,7.98,0.53,1,3,3,13,C
21,2,8.76,4.79,0.39,1,4,2,20,C,12.70,8.08,0.58,1,4,2,20,C
22,2,16.58,8.76,0.47,1,5,5,19,C,21.05,12.26,0.65,1,5,5,19,C
23,2,8.29,4.99,0.38,1,4,2,16,C,11.00,7.40,0.62,1,4,2,16,C
24,2,14.66,7.72,0.48,1,5,4,21,C,19.19,11.25,0.77,1,5,4,21,C
25,2,6.16,3.92,0.35,1,2,2,5,C,8.48,5.44,0.55,1,2,2,5,C
26,2,16.10,7.82,0.49,1,6,4,32,C,20.86,11.67,0.74,1,6,4,32,C
27,2,10.24,5.76,0.44,1,4,3,13,C,13.65,8.64,0.57,1,4,3,13,C
28,2,13.12,6.20,0.41,1,5,3,28,C,17.67,10.00,0.66,1,5,3,28,C
29,2,14.39,7.41,0.48,1,5,4,21,C,18.69,11.01,0.67,1,5,4,21,C
30,2,11.32,5.99,0.48,1,5,3,22,C,15.06,9.19,0.55,1,5,3,22,C
31,2,9.72,5.36,0.43,1,3,3,11,C,12.42,7.19,0.53,1,3,3,11,C
32,2,15.69,7.84,0.47,1,6,4,30,C,22.08,13.35,0.64,1,6,4,30,C
33,2,7.69,4.51,0.37,1,3,2,11,C,9.98,6.30,0.58,1,3,2,11,C
34,2,14.42,7.46,0.47,1,5,4,21,C,19.46,11.61,0.64,1,5,4,21,C
35,2,8.29,4.69,0.39,1,4,2,18,C,12.14,8.13,0.64,1,4,2,18,C
36,2,13.47,6.97,0.49,1,4,4,17,C,18.94,11.39,0.78,1,4,4,17,C
37,2,13.66,6.99,0.39,1,4,4,17,C,17.65,10.39,0.56,1,4,4,17,C
38,2,11.98,6.42,0.42,1,4,3,15,C,16.64,10.07,0.67,1,5,3,24,C
39,2,10.42,5.31,0.43,1,3,3,11,C,12.01,7.17,0.58,1,3,3,11,C
40,2,12.26,6.05,0.40,1,5,3,26,C,17.03,9.92,0.60,1,5,3,26,C
41,2,9.61,5.03,0.36,1,3,3,11,C,12.44,7.45,0.55,1,3,3,11,C
42,2,9.81,5.49,0.44,1,4,3,13,C,12.95,7.97,0.62,1,4,3,13,C
43,2,13.82,7.17,0.52,1,4,4,17,C,17.42,9.96,0.75,1,4,4,17,C
44,2,16.93,8.53,0.52,1,5,5,23,C,22.43,13.13,0.70,1,5,5,23,C
45,2,18.38,8.93,0.53,1,6,5,29,C,24.61,14.11,0.74,1,6,5,29,C
46,2,9.84,5.45,0.48,1,4,3,13,C,13.58,8.70,0.57,1,4,3,13,C
47,2,9.70,4.98,0.34,1,3,3,13,C,13.03,7.57,0.50,1,3,3,13,C
48,2,18.29,8.19,0.73,1,5,3,26,C,22.06,12.87,0.84,1,5,3,26,C
49,2,13.15,6.84,0.66,1,4,3,17,C,19.29,11.00,0.88,1,4,3,17,C
50,2,22.50,11.85,0.75,1,5,4,23,C,23.10,13.90,0.75,1,5,4,23,C
51,2,9.21,5.58,0.48,1,3,3,7,C,15.20,9.93,1.16,1,3,3,7,C
52,2,19.15,9.46,0.50,1,5,4,23,C,25.10,14.33,0.77,1,5,4,23,C
53,2,8.12,4.43,0.40,1,2,2,9,C,10.57,6.76,0.52,1,2,2,9,C
54,2,13.34,7.28,0.45,1,4,4,15,C,17.52,10.46,0.58,1,4,4,15,C
55,2,14.63,7.53,0.47,1,5,4,21,C,20.25,11.95,0.67,1,5,4,21,C
56,2,9.16,5.51,0.49,1,3,3,7,C,11.86,7.81,0.54,1,3,3,7,C
57,2,25.04,12.42,0.57,1,6,5,25,C,34.17,19.95,0.83,1,6,5,25,C
58,2,14.69,7.66,0.48,1,5,3,24,C,20.76,12.87,0.91,1,5,3,24,C
59,2,16.10,8.98,0.56,1,4,4,15,C,17.49,10.76,0.71,1,4,4,15,C
60,2,7.95,4.42,0.53,1,2,2,9,C,9.43,5.82,0.53,1,2,2,9,C
61,2,16.38,8.78,0.53,1,6,4,28,C,22.33,13.76,0.56,1,6,4,28,C
62,2,9.52,5.79,0.43,1,3,3,7,C,11.22,7.20,0.53,1,3,3,7,C
63,2,10.38,5.62,0.48,1,4,3,15,C,14.44,8.92,0.62,1,4,3,15,C
64,2,13.06,7.37,0.50,1,4,4,13,C,16.67,10.21,0.61,1,4,4,13,C
65,2,14.45,7.43,0.54,1,4,4,17,C,17.73,10.60,0.76,1,4,4,17,C
66,2,9.00,4.85,0.37,1,4,2,20,C,11.87,7.36,0.57,1,4,2,20,C
67,2,14.57,7.63,0.49,1,5,4,21,C,18.87,11.11,0.65,1,5,4,21,C
68,2,6.27,3.97,0.34,1,2,2,5,C,8.31,5.50,0.55,1,2,2,5,C
69,2,11.22,5.66,0.58,1,4,3,17,C,15.22,9.22,0.69,1,4,3,17,C
70,2,9.02,5.16,0.37,1,3,3,9,C,12.22,7.70,0.62,1,3,3,9,C
71,2,14.87,7.53,0.55,1,5,4,23,C,20.21,11.87,0.69,1,5,4,23,C
72,2,10.39,5.20,0.39,1,3,3,15,C,13.01,7.24,0.54,1,3,3,15,C
73,2,10.13,5.59,0.47,1,4,3,13,C,13.29,8.09,0.70,1,4,3,13,C
74,2,9.94,5.34,0.37,1,3,3,11,C,12.64,7.55,0.52,1,3,3,11,C
75,2,15.59,8.12,0.44,1,6,4,28,C,21.62,13.40,0.60,1,6,4,28,C
76,2,9.17,4.97,0.42,1,4,2,20,C,12.12,7.50,0.58,1,4,2,20,C
77,2,9.97,5.13,0.38,1,3,3,13,C,12.69,7.35,0.56,1,3,3,13,C
78,2,11.61,6.19,0.53,1,5,3,22,C,16.35,10.24,0.77,1,5,3,22,C
79,2,18.93,9.59,0.46,1,7,5,34,C,25.13,14.42,0.64,1,7,5,34,C
80,2,8.87,5.36,0.44,1,3,3,7,C,10.91,6.97,0.54,1,3,3,7,C
81,2,15.74,7.95,0.44,1,6,4,30,C,23.73,14.47,0.67,1,6,4,30,C
82,2,10.07,5.55,0.43,1,3,3,11,C,12.82,7.99,0.60,1,3,3,11,C
83,2,10.21,5.55,0.47,1,4,3,15,C,15.38,9.09,0.70,1,4,3,15,C
84,2,9.54,5.17,0.47,1,4,2,20,C,12.86,8.14,0.68,1,4,2,20,C
85,2,7.56,4.19,0.34,1,2,2,9,C,10.42,6.47,0.53,1,2,2,9,C
86,2,7.05,4.13,0.39,1,2,2,7,C,8.99,5.64,0.59,1,2,2,7,C
87,2,8.48,4.66,0.39,1,3,2,13,C,14.95,8.87,0.82,1,4,2,22,C
88,2,12.92,5.96,0.43,1,3,3,15,C,14.91,8.18,0.63,1,3,3,15,C
89,2,16.02,8.77,0.49,1,5,4,19,C,19.43,11.74,0.78,1,5,4,19,C
90,2,11.10,5.99,0.54,1,3,3,11,C,13.37,8.28,0.52,1,3,3,11,C
91,2,10.83,5.50,0.37,1,4,3,17,C,15.53,9.43,0.54,1,4,3,17,C
92,2,9.96,5.37,0.35,1,3,3,11,C,14.46,9.05,0.53,1,3,3,11,C
93,2,9.99,5.55,0.50,1,4,3,13,C,13.15,8.15,0.60,1,4,3,13,C
94,2,8.16,4.69,0.42,1,3,2,11,C,10.78,6.95,0.59,1,3,2,11,C
95,2,7.04,3.87,0.35,1,2,2,9,C,9.09,5.49,0.50,1,2,2,9,C
96,2,16.37,8.36,0.46,1,5,5,21,C,20.83,11.95,0.69,1,5,5,21,C
97,2,20.34,9.67,0.53,1,7,5,38,C,25.37,13.98,0.73,1,7,5,38,C
98,2,11.54,5.98,0.48,1,4,3,17,C,16.60,9.88,0.69,1,4,3,17,C
99,2,12.57,6.13,0.43,1,4,3,19,C,18.29,10.36,0.62,1,5,3,28,C
100,2,17.53,8.41,0.60,1,6,4,32,C,21.57,12.46,0.70,1,6,4,32,C
101,2,15.10,7.88,0.45,1,6,4,28,C,20.06,11.97,0.62,1,6,4,28,C
102,2,11.44,6.19,0.44,1,5,3,22,C,15.79,9.91,0.62,1,5,3,22,C
103,2,8.88,5.07,0.36,1,3,3,9,C,11.28,7.00,0.53,1,3,3,9,C
104,2,8.93,4.78,0.38,1,4,2,20,C,12.48,7.88,0.63,1,4,2,20,C
105,2,9.79,5.01,0.38,1,3,3,13,C,12.83,7.32,0.58,1,3,3,13,C
106,2,15.92,7.89,0.48,1,6,4,32,C,20.85,11.96,0.64,1,6,4,32,C
107,2,14.55,7.17,0.52,1,5,4,23,C,19.05,11.01,0.73,1,5,4,23,C
108,2,18.67,9.41,0.44,1,7,5,34,C,24.45,14.09,0.63,1,7,5,34,C
109,2,9.83,4.99,0.37,1,3,3,13,C,13.18,7.67,0.49,1,3,3,13,C
110,2,11.08,5.81,0.44,1,5,3,22,C,15.84,10.06,0.56,1,5,3,22,C
111,2,11.57,5.76,0.37,1,4,3,17,C,15.36,8.68,0.86,1,4,3,17,C
112,2,16.15,7.85,0.52,1,6,4,32,C,21.82,12.80,0.67,1,6,4,32,C
113,2,10.05,5.31,0.46,1,4,3,15,C,14.39,8.94,0.66,1,4,3,15,C
114,2,8.50,4.97,0.44,1,3,3,7,C,10.72,6.97,0.53,1,3,3,7,C
115,2,11.64,6.01,0.46,1,5,3,24,C,15.74,9.61,0.64,1,5,3,24,C
116,2,12.69,6.78,0.37,1,4,4,15,C,16.53,9.89,0.55,1,4,4,15,C
117,2,8.60,5.03,0.39,1,4,2,18,C,9.92,6.90,0.53,1,3,2,9,C
118,2,13.70,7.34,0.45,1,5,4,19,C,18.03,10.82,0.60,1,5,4,19,C
119,2,8.75,4.99,0.37,1,3,3,9,C,11.41,7.07,0.54,1,3,3,9,C
120,2,7.34,4.29,0.36,1,3,2,11,C,10.32,6.82,0.55,1,3,2,11,C
121,2,15.09,7.70,0.46,1,6,4,28,C,21.08,13.01,0.65,1,6,4,28,C
122,2,16.63,8.27,0.48,1,5,5,23,C,21.29,11.97,0.71,1,5,5,23,C
123,2,10.54,5.43,0.49,1,4,3,17,C,13.75,7.87,0.66,1,4,3,17,C
124,2,10.89,5.58,0.54,1,4,3,17,C,13.53,7.75,0.67,1,4,3,17,C
125,2,7.50,4.32,0.38,1,3,2,11,C,10.50,6.93,0.56,1,3,2,11,C
126,2,9.27,4.78,0.40,1,4,2,22,C,12.49,7.48,0.67,1,4,2,22,C
127,2,13.95,7.30,0.46,1,5,4,21,C,18.56,10.80,0.65,1,5,4,21,C
128,2,10.21,5.50,0.43,1,4,3,15,C,13.47,7.85,0.69,1,4,3,15,C
129,2,14.57,7.31,0.55,1,5,4,23,C,19.32,10.97,0.81,1,5,4,23,C
130,2,16.56,8.47,0.47,1,5,5,21,C,20.75,11.96,0.69,1,5,5,21,C
131,2,15.01,7.84,0.47,1,6,4,28,C,19.59,11.50,0.62,1,6,4,28,C
132,2,19.65,9.31,0.47,1,7,5,38,C,26.01,14.86,0.69,1,7,5,38,C
133,2,17.19,8.85,0.48,1,6,5,25,C,22.55,13.21,0.58,1,6,5,25,C
134,2,14.08,7.18,0.47,1,5,4,21,C,19.17,11.39,0.81,1,5,4,21,C
135,2,15.54,7.79,0.45,1,6,4,30,C,20.44,11.89,0.66,1,6,4,30,C
136,2,8.01,4.81,0.37,1,4,2,16,C,10.81,7.27,0.58,1,4,2,16,C
137,2,10.53,5.31,0.38,1,4,3,17,C,14.36,8.43,0.57,1,4,3,17,C
138,2,7.54,4.35,0.41,1,3,2,11,C,9.78,6.24,0.56,1,3,2,11,C
139,2,15.08,7.65,0.49,1,6,4,28,C,19.65,11.48,0.65,1,6,4,28,C
140,2,9.79,5.04,0.34,1,3,3,13,C,12.69,7.39,0.51,1,3,3,13,C
141,2,9.30,4.82,0.38,1,4,2,22,C,12.28,7.26,0.68,1,4,2,22,C
142,2,12.43,6.90,0.44,1,4,4,13,C,15.80,9.84,0.49,1,4,4,13,C
143,2,7.18,4.00,0.36,1,2,2,9,C,8.80,5.23,0.49,1,2,2,9,C
144,2,8.45,4.96,0.45,1,3,3,7,C,10.81,6.95,0.48,1,3,3,7,C
145,2,15.67,7.80,0.61,1,5,4,23,C,19.74,11.75,0.67,1,5,4,23,C
146,2,15.32,7.68,0.44,1,6,4,30,C,20.04,11.42,0.72,1,6,4,30,C
147,2,10.19,5.89,0.45,1,5,3,18,C,14.38,9.59,0.55,1,5,3,18,C
