Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Ratio Run Time,Planning Time - zooming,Planning Time non_zooming,Ratio Planning time,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
Averages,,11.92035,15.7867,1.3286749527,6.2659,9.46055,1.5099315815,0.44315,1,4.26,3.225,18.47,#DIV/0!,0.6309,1,4.275,3.225,18.605,
1,2,7.62,9.89,1.2979002625,4.66,6.66,1.4291845494,0.39,1,3,2,9,C,0.65,1,3,2,9,C
2,2,8.85,13.33,1.5062146893,4.75,8.66,1.8231578947,0.38,1,4,2,20,C,0.59,1,4,2,20,C
3,2,11.36,15.99,1.4075704225,5.98,10,1.6722408027,0.5,1,5,3,22,C,0.59,1,5,3,22,C
4,2,13.23,17.74,1.3408919123,7.16,10.81,1.5097765363,0.39,1,4,4,15,C,0.57,1,4,4,15,C
5,2,10.86,14.03,1.2918968692,5.53,8.03,1.452079566,0.54,1,4,3,17,C,0.67,1,4,3,17,C
6,2,8.56,9.95,1.1623831776,4.91,6.73,1.3706720978,0.41,1,4,2,18,C,0.61,1,3,2,9,C
7,2,15.9,20.35,1.2798742138,8.05,11.62,1.4434782609,0.5,1,6,4,30,C,0.76,1,6,4,30,C
8,2,14.82,19.49,1.3151147099,7.49,10.93,1.4592790387,0.49,1,5,4,23,C,0.72,1,5,4,23,C
9,2,16.01,22.29,1.3922548407,7.87,12.6,1.6010165184,0.5,1,6,4,32,C,0.63,1,6,4,32,C
10,2,20.6,25.92,1.2582524272,10.69,14.62,1.3676333022,0.51,1,7,5,34,C,0.72,1,7,5,34,C
11,2,15.07,19.42,1.2886529529,7.72,11.11,1.439119171,0.49,1,5,4,21,C,0.81,1,5,4,21,C
12,2,7.79,9.66,1.2400513479,4.6,6.09,1.3239130435,0.35,1,3,2,11,C,0.53,1,3,2,11,C
13,2,10.84,14.86,1.3708487085,5.55,8.53,1.5369369369,0.37,1,4,3,17,C,0.58,1,4,3,17,C
14,2,15.33,20.51,1.3378995434,8.01,12.33,1.5393258427,0.46,1,6,4,28,C,0.62,1,6,4,28,C
