Trial Number,Complexity Level,Run-time zooming,Planning Time - zooming,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Run-time non_zooming,Planning Time non_zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,TIMEOUTS - non_zooming
Averages ,,18.2865,8.60295,0.52705,1,5.26,3.875,28.635,#DIV/0!,#DIV/0!,0,0,0,0,0,0,104
1,3,20.98,9.77,0.62,1,6,4,34,C,TIMEOUT 83.902972,0,0,0,0,0,0,T
2,3,21.68,10.47,0.56,1,5,5,25,C,TIMEOUT 86.707148,0,0,0,0,0,0,T
3,3,18.19,8.61,0.98,1,4,4,21,C,TIMEOUT 72.747028,0,0,0,0,0,0,T
4,3,36.31,16.13,0.61,1,8,7,51,C,ERROR in line 519,0,0,0,0,0,0,A
5,3,47.02,20.31,1.52,1,9,7,60,C,ERROR in line 519,0,0,0,0,0,0,A
6,3,8.36,4.52,0.39,1,3,2,11,C,TIMEOUT 33.427188,0,0,0,0,0,0,T
7,3,15.12,7.79,0.59,1,6,3,32,C,TIMEOUT 60.486872,0,0,0,0,0,0,T
8,3,31.46,14.04,0.59,1,7,7,41,C,TIMEOUT 125.847964,0,0,0,0,0,0,T
9,3,15.44,7.41,0.95,1,5,3,26,C,ERROR in line 519,0,0,0,0,0,0,A
10,3,27.29,12.59,0.52,1,7,6,37,C,ERROR in line 519,0,0,0,0,0,0,A
11,3,15.21,7.69,0.41,1,4,4,17,C,TIMEOUT 60.82956,0,0,0,0,0,0,T
12,3,18.27,8.6,0.51,1,6,4,30,C,ERROR in line 519,0,0,0,0,0,0,A
13,3,21.8,9.51,0.4,1,6,4,38,C,ERROR in line 519,0,0,0,0,0,0,A
14,3,11.34,5.69,0.39,1,4,2,22,C,TIMEOUT 45.355104,0,0,0,0,0,0,T
15,3,19.93,8.7,0.94,1,5,4,29,C,TIMEOUT 79.709848,0,0,0,0,0,0,T
16,3,34.19,14.96,0.89,1,9,6,64,C,ERROR in line 544,0,0,0,0,0,0,A
17,3,8.96,4.99,0.46,1,3,3,7,C,ERROR in line 137,0,0,0,0,0,0,A
18,3,15.26,7.63,0.4,1,4,4,17,C,ERROR in line 519,0,0,0,0,0,0,A
19,3,21.88,10.07,0.57,1,7,4,46,C,ERROR in line 544,0,0,0,0,0,0,A
20,3,24.99,11.02,0.57,1,7,5,42,C,ERROR in line 137,0,0,0,0,0,0,A
21,3,16.98,8.1,0.51,1,5,4,23,C,TIMEOUT 67.908196,0,0,0,0,0,0,T
22,3,13.27,6.25,0.37,1,4,3,19,C,ERROR in line 519,0,0,0,0,0,0,A
23,3,20.5,9.73,0.54,1,5,5,23,C,ERROR in line 137,0,0,0,0,0,0,A
24,3,16.44,8.17,0.51,1,5,4,21,C,ERROR in line 137,0,0,0,0,0,0,A
