Trial Number,Complexity Level,Run-time zooming,Planning Time - zooming,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Run-time non_zooming,Planning Time non_zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Timeout Runs – non_zooming
Averages,,31.9721,12.9475,0.60475,1,6.29,4.445,42.855,#DIV/0!,#DIV/0!,0,0,0,0,0,0,31
1,4,10,4.77,0.41,1,2,2,9,C,TIMEOUT 40.01702,0,0,0,0,0,0,T
2,4,45.44,18.17,0.56,1,7,7,47,C,ERROR in line 519,0,0,0,0,0,0,A
3,4,18.35,8.37,0.45,1,5,2,34,C,ERROR in line 519,0,0,0,0,0,0,A
4,4,24.36,10.48,0.59,1,7,3,49,C,ERROR in line 137,0,0,0,0,0,0,A
5,4,11.91,5.43,0.39,1,3,2,13,C,TIMEOUT 47.658732,0,0,0,0,0,0,T
6,4,25.88,11.45,0.58,1,7,4,40,C,ERROR in line 519,0,0,0,0,0,0,A
7,4,44.32,16.59,0.68,1,8,6,56,C,ERROR in line 519,0,0,0,0,0,0,A
8,4,27.77,11.39,0.63,1,7,4,44,C,ERROR in line 519,0,0,0,0,0,0,A
9,4,23.07,10.59,0.44,1,6,3,38,C,ERROR in line 519,0,0,0,0,0,0,A
10,4,64.26,24.23,0.64,1,10,8,80,C,ERROR in line 544,0,0,0,0,0,0,A
11,4,20.83,8.15,0.37,1,4,3,25,C,ERROR in line 137,0,0,0,0,0,0,A
12,4,17.61,7.99,0.64,1,6,3,32,C,ERROR in line 137,0,0,0,0,0,0,A
13,4,11.33,4.74,0.38,1,2,2,11,C,TIMEOUT 45.319388,0,0,0,0,0,0,T
14,4,24.24,9.93,0.42,1,5,3,34,C,ERROR in line 519,0,0,0,0,0,0,A
15,4,12.88,5.58,0.39,1,3,2,15,C,TIMEOUT 51.523508,0,0,0,0,0,0,T
16,4,19.8,7.95,0.65,1,5,3,28,C,ERROR in line 544,0,0,0,0,0,0,A
17,4,35.35,14.51,0.65,1,8,4,65,C,ERROR in line 544,0,0,0,0,0,0,A
18,4,49.85,19.86,0.74,1,10,6,81,C,ERROR in line 137,0,0,0,0,0,0,A
19,4,39.55,15.3,0.42,1,6,5,47,C,ERROR in line 519,0,0,0,0,0,0,A
20,4,17.94,8.36,0.44,1,5,2,34,C,ERROR in line 519,0,0,0,0,0,0,A
21,4,33.15,13.41,0.66,1,7,4,52,C,ERROR in line 544,0,0,0,0,0,0,A
22,4,27,11.21,0.63,1,7,3,55,C,ERROR in line 544,0,0,0,0,0,0,A
23,4,8.07,4.71,0.38,1,2,2,5,C,TIMEOUT 32.285592,0,0,0,0,0,0,T
24,4,53.62,20.42,0.65,1,9,7,68,C,ERROR in line 544,0,0,0,0,0,0,A
25,4,12.42,6.08,0.41,1,4,2,18,C,ERROR in line 519,0,0,0,0,0,0,A
26,4,50.44,19.47,0.68,1,9,6,72,C,ERROR in line 544,0,0,0,0,0,0,A
27,4,48.32,22.1,0.47,1,9,5,77,C,ERROR in line 520,0,0,0,0,0,0,A
28,4,13.58,6.31,0.59,1,4,3,13,C,ERROR in line 519,0,0,0,0,0,0,A
29,4,51.29,24.05,0.5,1,9,5,75,C,ERROR in line 520,0,0,0,0,0,0,A
30,4,30.05,12,0.4,1,6,4,40,C,ERROR in line 137,0,0,0,0,0,0,A
31,4,33.58,13.66,0.57,1,5,5,35,C,TIMEOUT 134.328964,0,0,0,0,0,0,T
32,4,45.95,18.4,0.61,1,7,7,47,C,ERROR in line 137,0,0,0,0,0,0,A
33,4,11.66,5.74,0.45,1,3,3,9,C,ERROR in line 519,0,0,0,0,0,0,A
34,4,26.14,10.61,0.7,1,6,4,34,C,ERROR in line 519,0,0,0,0,0,0,A
35,4,36.27,14.18,0.65,1,6,5,41,C,ERROR in line 544,0,0,0,0,0,0,A
36,4,36.94,15.11,0.63,1,8,4,67,C,ERROR in line 544,0,0,0,0,0,0,A
37,4,45.32,17.58,0.69,1,9,5,75,C,ERROR in line 544,0,0,0,0,0,0,A
38,4,28.02,11.43,0.72,1,7,4,44,C,ERROR in line 519,0,0,0,0,0,0,A
39,4,45.7,17.1,1.06,1,8,6,58,C,ERROR in line 544,0,0,0,0,0,0,A
40,4,16.1,7.33,0.52,1,3,3,15,C,TIMEOUT 64.414584,0,0,0,0,0,0,T
41,4,33.45,13.63,0.68,1,5,5,35,C,ERROR in line 544,0,0,0,0,0,0,A
42,4,23.11,9.24,1.76,1,5,3,30,C,TIMEOUT 92.44978,0,0,0,0,0,0,T
43,4,22.62,10.31,0.58,1,7,3,49,C,TIMEOUT 90.472916,0,0,0,0,0,0,T
44,4,60.57,23.13,0.69,1,10,8,74,C,ERROR in line 137,0,0,0,0,0,0,A
45,4,27.98,11.86,0.61,1,5,5,27,C,ERROR in line 137,0,0,0,0,0,0,A
46,4,26.52,10.31,0.69,1,6,4,36,C,ERROR in line 519,0,0,0,0,0,0,A
47,4,34.44,14.44,0.62,1,8,4,63,C,ERROR in line 137,0,0,0,0,0,0,A
