Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,[Planning-time/num refined plans] – zooming,[Planning-time/num refined plans] – non zooming
,,7.12245,7.3178,1.02755,7.72725,7.91795,1.02465,1,1,1,2.52,2.52,1,3.005,3.005,1,8.41,8.41,1,,,2.6559625,2.7219833333
1,1,9.06,9.16,1.01,9.13,9.16,1,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.2825,2.29
2,1,6.53,6.74,1.03,6.88,7.09,1.03,1,1,1,2,2,1,3,3,1,9,9,1,C,C,2.2933333333,2.3633333333
3,1,5.73,6.01,1.05,6.28,6.68,1.06,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.14,3.34
4,1,6.15,6.39,1.04,6.86,6.96,1.01,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2866666667,2.32
5,1,6.05,6.33,1.05,6.67,6.97,1.05,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2233333333,2.3233333333
6,1,8.84,9.03,1.02,8.84,9,1.02,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.21,2.25
7,1,7.64,7.7,1.01,8.72,8.69,1,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.9066666667,2.8966666667
8,1,5.9,6.05,1.03,6.55,6.68,1.02,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.275,3.34
9,1,6.22,6.38,1.03,6.91,7,1.01,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.3033333333,2.3333333333
10,1,7.85,8.05,1.03,8.5,8.72,1.03,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.8333333333,2.9066666667
11,1,8.6,8.92,1.04,8.89,9.27,1.04,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.2225,2.3175
12,1,5.8,6.02,1.04,6.41,6.66,1.04,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.205,3.33
13,1,7.61,7.74,1.02,8.62,8.83,1.02,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.8733333333,2.9433333333
14,1,6.27,6.3,1,6.89,7.03,1.02,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2966666667,2.3433333333
15,1,8.97,9.1,1.01,9.05,9.15,1.01,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.2625,2.2875
16,1,5.41,5.71,1.05,6.38,6.7,1.05,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.19,3.35
17,1,7.58,7.79,1.03,8.62,8.78,1.02,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.8733333333,2.9266666667
18,1,5.91,6.02,1.02,6.54,6.67,1.02,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.27,3.335
19,1,7.79,8.08,1.04,8.52,8.8,1.03,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.84,2.9333333333
20,1,7.36,7.67,1.04,8.34,8.66,1.04,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.78,2.8866666667
