Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,[Planing-Time/Num Refined Plans]-zooming,[Planing-Time/Num Refined Plans]- non _zooming
,,10.9719,14.68915,1.3414,10.2315,13.9612,1.3632,1,1,1,3.235,3.235,1,4.255,4.245,0.9984,15.03,14.99,0.9984,,,2.482365119,3.3768892857
1,2,18.34,25.38,1.38,15.41,22.41,1.45,1,1,1,5,5,1,7,7,1,29,29,1,C,C,2.2014285714,3.2014285714
2,2,15.21,20.3,1.33,12.74,17.71,1.39,1,1,1,4,4,1,6,6,1,25,25,1,C,C,2.1233333333,2.9516666667
3,2,15.2,20.8,1.37,14.41,19.96,1.39,1,1,1,5,5,1,5,5,1,19,19,1,C,C,2.882,3.992
4,2,15.42,20.99,1.36,12.78,18.47,1.44,1,1,1,4,4,1,6,6,1,25,25,1,C,C,2.13,3.0783333333
5,2,13.27,16.85,1.27,12.44,16.06,1.29,1,1,1,4,4,1,5,5,1,17,17,1,C,C,2.488,3.212
6,2,6.8,8.35,1.23,6.76,8.37,1.24,1,1,1,2,2,1,2,2,1,9,9,1,C,C,3.38,4.185
7,2,8.83,11.9,1.35,8.89,11.99,1.35,1,1,1,3,3,1,3,3,1,11,11,1,C,C,2.9633333333,3.9966666667
8,2,18.34,24.29,1.32,15.48,21.52,1.39,1,1,1,5,5,1,7,7,1,29,29,1,C,C,2.2114285714,3.0742857143
9,2,10.29,14.61,1.42,9.55,13.69,1.43,1,1,1,3,3,1,4,4,1,15,15,1,C,C,2.3875,3.4225
10,2,11.92,15.57,1.31,12,15.63,1.3,1,1,1,4,4,1,4,4,1,13,13,1,C,C,3,3.9075
