Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,,
,,34.68595,67.11305,2.2845,21.52015,68.21825,3.518,1,1,1,4.69,0,0,6.555,0.895,0.15695,36.16,0,0,,,3.3417185245,#DIV/0!
1,4,61.9,22.47,0.36,35.32,23.57,0.67,1,1,1,8,0,0,10,1,0.1,69,0,0,C,A,3.532,23.57
2,4,30.31,115.79,3.82,18.58,116.88,6.29,1,1,1,4,0,0,6,0,0,33,0,0,C,A,3.0966666667,#DIV/0!
3,4,9.05,36.62,4.05,8.3,37.67,4.54,1,1,1,2,0,0,2,1,0.5,7,0,0,C,A,4.15,37.67
4,4,14.91,36.67,2.46,11.84,37.74,3.19,1,1,1,3,0,0,4,1,0.25,13,0,0,C,A,2.96,37.74
5,4,20.59,52.3,2.54,15.31,53.35,3.49,1,1,1,2,0,0,5,1,0.2,17,0,0,C,A,3.062,53.35
6,4,36.21,27.56,0.76,22.58,28.67,1.27,1,1,1,5,0,0,7,1,0.14,37,0,0,C,A,3.2257142857,28.67
7,4,57.66,63.94,1.11,33.28,65.12,1.96,1,1,1,7,0,0,9,0,0,61,0,0,C,A,3.6977777778,#DIV/0!
8,4,66.86,116.88,1.75,37.86,117.97,3.12,1,1,1,7,0,0,11,0,0,71,0,0,C,A,3.4418181818,#DIV/0!
9,4,13.55,58.66,4.33,11.18,59.74,5.34,1,1,1,3,0,0,4,1,0.25,11,0,0,C,A,2.795,59.74
10,4,47.9,21.3,0.44,28.09,22.41,0.8,1,1,1,6,0,0,9,1,0.11,53,0,0,C,A,3.1211111111,22.41
11,4,50.99,116.29,2.28,28.9,117.39,4.06,1,1,1,6,0,0,9,0,0,57,0,0,C,A,3.2111111111,#DIV/0!
12,4,34.87,115.23,3.3,21.12,116.27,5.51,1,1,1,4,0,0,7,0,0,37,0,0,C,A,3.0171428571,#DIV/0!
13,4,42.97,20.77,0.48,25.05,21.82,0.87,1,1,1,5,0,0,9,1,0.11,47,0,0,C,A,2.7833333333,21.82
14,4,66.48,64.75,0.97,39.18,65.87,1.68,1,1,1,9,0,0,9,0,0,73,0,0,C,A,4.3533333333,#DIV/0!
15,4,37.16,115.61,3.11,21.73,116.7,5.37,1,1,1,4,0,0,8,0,0,41,0,0,C,A,2.71625,#DIV/0!
16,4,20,22.8,1.14,12.88,23.85,1.85,1,1,1,3,0,0,3,1,0.33,21,0,0,C,A,4.2933333333,23.85
17,4,34.01,20.45,0.6,20.57,21.54,1.05,1,1,1,4,0,0,8,0,0,37,0,0,C,A,2.57125,#DIV/0!
18,4,19.94,84.65,4.24,15.2,85.75,5.64,1,1,1,4,0,0,4,0,0,17,0,0,C,A,3.8,#DIV/0!
19,4,40.31,118.39,2.94,24.58,119.46,4.86,1,1,1,5,0,0,9,0,0,43,0,0,C,A,2.7311111111,#DIV/0!
20,4,44.8,80.27,1.79,25.34,81.36,3.21,1,1,1,5,0,0,9,0,0,49,0,0,C,A,2.8155555556,#DIV/0!
21,4,36.39,157.28,4.32,22.01,158.47,7.2,1,1,1,4,0,0,6,0,0,33,0,0,C,A,3.6683333333,#DIV/0!
22,4,43.2,24.82,0.57,25.82,26.08,1.01,1,1,1,5,0,0,7,1,0.14,39,0,0,C,A,3.6885714286,26.08
23,4,30.72,119.07,3.88,18.87,120.2,6.37,1,1,1,4,0,0,6,0,0,33,0,0,C,A,3.145,#DIV/0!
24,4,27.38,195.67,7.15,18.33,196.78,10.74,1,1,1,4,0,0,6,1,0.17,25,0,0,C,A,3.055,196.78
25,4,27.46,20.8,0.76,17.48,21.87,1.25,1,1,1,4,0,0,6,0,0,29,0,0,C,A,2.9133333333,#DIV/0!
26,4,11.42,148.93,13.04,10.87,149.98,13.79,1,1,1,3,0,0,3,0,0,7,0,0,C,A,3.6233333333,#DIV/0!
27,4,38.97,25.22,0.65,24.94,26.36,1.06,1,1,1,6,0,0,6,1,0.17,39,0,0,C,A,4.1566666667,26.36
28,4,17.66,92.37,5.23,12.5,93.45,7.47,1,1,1,3,0,0,3,1,0.33,17,0,0,C,A,4.1666666667,93.45
29,4,61.81,119.92,1.94,35.97,121.07,3.37,1,1,1,8,0,0,8,0,0,65,0,0,C,A,4.49625,#DIV/0!
30,4,32.84,254.74,7.76,20.86,255.78,12.26,1,1,1,4,0,0,8,0,0,33,0,0,C,A,2.6075,#DIV/0!
31,4,26.92,117.46,4.36,17.24,118.53,6.88,1,1,1,3,0,0,6,0,0,27,0,0,C,A,2.8733333333,#DIV/0!
32,4,30.34,21.45,0.71,19.36,22.58,1.17,1,1,1,5,0,0,5,1,0.2,31,0,0,C,A,3.872,22.58
33,4,18.28,134.64,7.37,13.88,135.74,9.78,1,1,1,3,0,0,7,1,0.14,15,0,0,C,A,1.9828571429,135.74
