Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,8,231.99,,,24.13,,,13.97,,,5.79,,,3.31,,,1,,,7,,,15,,,69,,,C,
2,8,190.99,,,21.59,,,16.67,,,6.87,,,4.06,,,1,,,8,,,9,,,53,,,C,
3,8,291.47,,,37.61,,,14.38,,,6.11,,,3.45,,,1,,,7,,,22,,,85,,,C,
4,8,242.82,,,30.01,,,16.93,,,7.00,,,4.43,,,1,,,8,,,10,,,67,,,C,
5,8,231.39,,,45.79,,,10.16,,,4.74,,,2.92,,,1,,,5,,,18,,,61,,,C,
6,8,147.22,,,26.37,,,8.02,,,3.62,,,2.09,,,1,,,4,,,12,,,39,,,C,
7,8,169.57,,,30.96,,,8.11,,,3.83,,,2.32,,,1,,,4,,,15,,,45,,,C,
8,8,186.11,,,32.32,,,10.34,,,4.41,,,2.78,,,1,,,5,,,11,,,49,,,C,
9,8,164.81,,,30.59,,,8.13,,,3.76,,,2.30,,,1,,,4,,,12,,,43,,,C,
10,8,165.75,,,22.48,,,10.24,,,4.64,,,2.64,,,1,,,5,,,12,,,45,,,C,
11,8,140.17,,,27.67,,,5.36,,,3.09,,,1.71,,,1,,,3,,,10,,,37,,,C,
12,8,188.76,,,32.36,,,8.11,,,3.97,,,2.25,,,1,,,4,,,13,,,51,,,C,
13,8,305.10,,,30.41,,,20.65,,,8.49,,,4.68,,,1,,,9,,,17,,,85,,,C,
14,8,202.58,,,21.52,,,12.78,,,5.46,,,2.92,,,1,,,6,,,15,,,57,,,C,
15,8,300.89,,,37.04,,,19.90,,,8.16,,,4.43,,,1,,,9,,,15,,,81,,,C,
16,8,146.50,,,24.63,,,3.92,,,2.38,,,1.06,,,1,,,2,,,17,,,41,,,C,
17,8,93.79,,,20.49,,,5.49,,,3.06,,,1.65,,,1,,,3,,,3,,,23,,,C,
18,8,195.52,,,34.58,,,10.24,,,4.68,,,2.76,,,1,,,5,,,17,,,51,,,C,
19,8,199.13,,,38.03,,,10.45,,,4.65,,,2.61,,,1,,,5,,,11,,,51,,,C,
20,8,145.31,,,14.53,,,12.56,,,5.43,,,3.17,,,1,,,6,,,10,,,39,,,C,
21,8,170.81,,,18.05,,,15.34,,,6.30,,,3.82,,,1,,,7,,,8,,,45,,,C,
22,8,100.13,,,17.05,,,8.13,,,3.93,,,1.91,,,1,,,4,,,5,,,25,,,C,
23,8,93.83,,,11.58,,,4.21,,,2.43,,,1.03,,,1,,,2,,,10,,,27,,,C,
24,8,70.70,,,9.08,,,5.49,,,2.94,,,1.48,,,1,,,3,,,8,,,19,,,C,
25,8,163.98,,,18.98,,,10.50,,,4.78,,,2.83,,,1,,,5,,,8,,,45,,,C,
26,8,269.15,,,42.62,,,17.64,,,7.09,,,4.52,,,1,,,8,,,13,,,69,,,C,
27,8,147.53,,,10.94,,,12.74,,,5.43,,,2.91,,,1,,,6,,,7,,,41,,,C,
28,8,168.88,,,11.48,,,14.89,,,6.20,,,3.29,,,1,,,7,,,8,,,47,,,C,
29,8,143.81,,,14.51,,,8.12,,,3.78,,,1.98,,,1,,,4,,,14,,,41,,,C,
30,8,153.07,,,35.49,,,4.02,,,2.40,,,1.22,,,1,,,2,,,16,,,39,,,C,
