Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,4,42.87,102.51,2.39,24.24,102.50,4.23,1,1,1.00,4,0,0.00,9,1,0.11,33,0,0.00,C,A
2,4,40.41,150.99,3.74,23.10,150.98,6.54,1,1,1.00,4,0,0.00,8,1,0.12,31,0,0.00,C,A
3,4,36.59,89.52,2.45,22.02,89.51,4.07,1,1,1.00,4,0,0.00,9,1,0.11,27,0,0.00,C,A
4,4,34.50,94.37,2.74,19.82,94.36,4.76,1,1,1.00,4,0,0.00,7,1,0.14,27,0,0.00,C,A
5,4,56.79,301.01,5.30,32.46,3.73,0.12,1,1,1.00,7,0,0.00,11,0,0.00,43,0,0.00,C,T
6,4,36.78,106.15,2.89,21.16,106.13,5.02,1,1,1.00,5,0,0.00,6,0,0.00,29,0,0.00,C,A
7,4,57.38,32.71,0.57,32.53,32.70,1.01,1,1,1.00,7,0,0.00,10,1,0.10,45,0,0.00,C,A
8,4,21.25,28.61,1.35,13.05,28.60,2.19,1,1,1.00,3,0,0.00,3,1,0.33,15,0,0.00,C,A
9,4,15.14,301.01,19.88,11.74,1.86,0.16,1,1,1.00,3,0,0.00,3,0,0.00,7,0,0.00,C,T
10,4,51.39,41.64,0.81,29.33,41.62,1.42,1,1,1.00,6,0,0.00,8,1,0.12,35,0,0.00,C,A
11,4,36.18,108.77,3.01,20.63,108.76,5.27,1,1,1.00,3,0,0.00,8,0,0.00,25,0,0.00,C,A
12,4,29.87,33.06,1.11,17.68,33.05,1.87,1,1,1.00,3,0,0.00,6,1,0.17,23,0,0.00,C,A
13,4,27.52,104.58,3.80,17.65,104.57,5.92,1,1,1.00,4,0,0.00,4,1,0.25,19,0,0.00,C,A
14,4,35.54,301.01,8.47,21.87,3.24,0.15,1,1,1.00,4,0,0.00,9,0,0.00,25,0,0.00,C,T
15,4,41.82,171.12,4.09,24.08,171.11,7.11,1,1,1.00,5,0,0.00,9,1,0.11,33,0,0.00,C,A
16,4,38.74,33.70,0.87,21.79,33.69,1.55,1,1,1.00,5,0,0.00,6,1,0.17,31,0,0.00,C,A
17,4,32.47,33.31,1.03,19.89,33.30,1.67,1,1,1.00,5,0,0.00,5,1,0.20,23,0,0.00,C,A
18,4,36.69,105.95,2.89,21.17,105.94,5.00,1,1,1.00,5,0,0.00,6,0,0.00,29,0,0.00,C,A
19,4,32.27,32.92,1.02,19.49,32.91,1.69,1,1,1.00,4,0,0.00,5,1,0.20,23,0,0.00,C,A
20,4,32.71,301.01,9.20,20.33,3.02,0.15,1,1,1.00,5,0,0.00,5,0,0.00,23,0,0.00,C,T
21,4,50.23,301.01,5.99,30.26,3.38,0.11,1,1,1.00,6,0,0.00,11,0,0.00,37,0,0.00,C,T
22,4,31.05,112.91,3.64,18.66,112.90,6.05,1,1,1.00,4,0,0.00,6,1,0.17,23,0,0.00,C,A
23,4,49.02,296.37,6.05,28.04,296.36,10.57,1,1,1.00,6,0,0.00,9,1,0.11,39,0,0.00,C,A
24,4,42.58,31.15,0.73,25.98,31.14,1.20,1,1,1.00,5,0,0.00,9,1,0.11,31,0,0.00,C,A
25,4,44.48,33.65,0.76,25.33,33.64,1.33,1,1,1.00,5,0,0.00,8,1,0.12,35,0,0.00,C,A
26,4,38.23,34.02,0.89,23.40,34.01,1.45,1,1,1.00,5,0,0.00,6,1,0.17,27,0,0.00,C,A
27,4,41.81,106.01,2.54,23.50,106.00,4.51,1,1,1.00,5,0,0.00,6,1,0.17,33,0,0.00,C,A
28,4,35.28,91.48,2.59,21.63,91.47,4.23,1,1,1.00,5,0,0.00,6,1,0.17,25,0,0.00,C,A
29,4,31.56,58.20,1.84,19.14,58.19,3.04,1,1,1.00,3,0,0.00,8,1,0.12,23,0,0.00,C,A
30,4,58.98,33.99,0.58,32.99,33.97,1.03,1,1,1.00,7,0,0.00,10,1,0.10,47,0,0.00,C,A
31,4,46.91,105.85,2.26,26.15,105.84,4.05,1,1,1.00,5,0,0.00,10,0,0.00,37,0,0.00,C,A
32,4,41.35,301.01,7.28,24.59,2.96,0.12,1,1,1.00,5,0,0.00,8,0,0.00,31,0,0.00,C,T
33,4,17.96,301.01,16.76,10.99,1.93,0.18,1,1,1.00,2,0,0.00,4,0,0.00,13,0,0.00,C,T
34,4,51.79,301.01,5.81,29.32,3.82,0.13,1,1,1.00,7,0,0.00,9,0,0.00,41,0,0.00,C,T
35,4,31.18,124.01,3.98,19.55,124.00,6.34,1,1,1.00,5,0,0.00,5,1,0.20,21,0,0.00,C,A
36,4,30.33,30.84,1.02,18.18,30.83,1.70,1,1,1.00,3,0,0.00,8,1,0.12,23,0,0.00,C,A
37,4,35.96,106.31,2.96,22.05,106.30,4.82,1,1,1.00,2,0,0.00,7,1,0.14,27,0,0.00,C,A
38,4,43.43,63.15,1.45,25.14,63.14,2.51,1,1,1.00,5,0,0.00,9,1,0.11,35,0,0.00,C,A
39,4,52.25,33.69,0.64,30.09,33.68,1.12,1,1,1.00,6,0,0.00,9,1,0.11,41,0,0.00,C,A
40,4,34.22,105.16,3.07,20.74,105.15,5.07,1,1,1.00,5,0,0.00,5,0,0.00,25,0,0.00,C,A
41,4,53.19,105.78,1.99,29.49,105.77,3.59,1,1,1.00,6,0,0.00,9,0,0.00,43,0,0.00,C,A
42,4,43.10,301.01,6.98,27.47,3.44,0.13,1,1,1.00,6,0,0.00,10,0,0.00,29,0,0.00,C,T
43,4,28.82,301.01,10.44,17.58,2.65,0.15,1,1,1.00,4,0,0.00,6,0,0.00,21,0,0.00,C,T
44,4,27.53,155.09,5.63,16.14,155.08,9.61,1,1,1.00,3,0,0.00,7,1,0.14,21,0,0.00,C,A
45,4,19.31,34.85,1.80,12.62,34.84,2.76,1,1,1.00,3,0,0.00,4,1,0.25,13,0,0.00,C,A
