Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,6,10.18,,,1.13,,,2.23,,,1.41,,,0.49,,,1,,,1,,,1,,,4,,,C,
2,6,115.97,,,26.18,,,10.65,,,4.58,,,2.86,,,1,,,6,,,16,,,59,,,C,
3,6,34.77,,,6.44,,,3.43,,,2.03,,,0.88,,,1,,,2,,,9,,,19,,,C,
4,6,123.45,,,22.06,,,12.22,,,4.79,,,3.48,,,1,,,7,,,17,,,67,,,C,
5,6,74.10,,,10.07,,,8.79,,,3.81,,,2.30,,,1,,,5,,,8,,,41,,,C,
6,6,87.63,,,20.52,,,6.84,,,3.21,,,2.07,,,1,,,4,,,14,,,45,,,C,
7,6,72.34,,,15.38,,,8.69,,,3.61,,,2.41,,,1,,,5,,,9,,,35,,,C,
8,6,67.87,,,9.24,,,6.79,,,3.13,,,1.89,,,1,,,4,,,12,,,39,,,C,
9,6,109.73,,,23.72,,,12.29,,,5.06,,,3.47,,,1,,,7,,,13,,,53,,,C,
10,6,97.45,,,21.01,,,8.77,,,3.83,,,2.30,,,1,,,5,,,15,,,51,,,C,
11,6,111.07,,,23.54,,,10.46,,,4.40,,,3.07,,,1,,,6,,,11,,,57,,,C,
12,6,89.80,,,11.95,,,12.31,,,5.11,,,3.44,,,1,,,7,,,8,,,47,,,C,
13,6,31.06,,,2.94,,,4.59,,,2.51,,,1.39,,,1,,,3,,,5,,,17,,,C,
14,6,82.75,,,19.38,,,6.79,,,3.10,,,1.98,,,1,,,4,,,13,,,43,,,C,
15,6,75.93,,,19.79,,,6.77,,,2.96,,,2.12,,,1,,,4,,,4,,,36,,,C,
16,6,117.80,,,19.36,,,14.33,,,5.61,,,3.70,,,1,,,8,,,12,,,61,,,C,
17,6,88.15,,,14.09,,,10.66,,,4.48,,,2.69,,,1,,,6,,,15,,,47,,,C,
18,6,60.84,,,12.82,,,4.71,,,2.50,,,1.54,,,1,,,3,,,10,,,33,,,C,
19,6,31.33,,,5.21,,,4.65,,,2.58,,,1.46,,,1,,,3,,,3,,,15,,,C,
20,6,56.50,,,7.80,,,6.80,,,3.27,,,1.78,,,1,,,4,,,6,,,31,,,C,
21,6,35.32,,,6.77,,,4.62,,,2.47,,,1.35,,,1,,,3,,,4,,,17,,,C,
22,6,27.99,,,6.74,,,3.35,,,2.06,,,0.97,,,1,,,2,,,2,,,13,,,C,
23,6,93.68,,,19.40,,,8.61,,,3.80,,,2.65,,,1,,,5,,,11,,,49,,,C,
24,6,88.03,,,14.68,,,10.71,,,4.42,,,2.88,,,1,,,6,,,9,,,45,,,C,
25,6,78.44,,,8.82,,,9.41,,,4.17,,,2.51,,,1,,,5,,,10,,,41,,,C,
26,6,91.24,,,21.54,,,7.53,,,3.43,,,2.32,,,1,,,4,,,10,,,43,,,C,
27,6,59.05,,,9.56,,,5.10,,,2.74,,,1.52,,,1,,,3,,,12,,,31,,,C,
28,6,155.09,,,31.70,,,15.28,,,6.39,,,4.42,,,1,,,8,,,17,,,73,,,C,
29,6,91.27,,,15.93,,,8.86,,,4.27,,,2.38,,,1,,,4,,,11,,,43,,,C,
30,6,78.21,,,17.58,,,7.10,,,3.36,,,2.18,,,1,,,4,,,6,,,37,,,C,
31,6,101.03,,,19.47,,,11.39,,,4.69,,,3.31,,,1,,,6,,,14,,,47,,,C,
32,6,41.08,,,10.15,,,3.77,,,2.10,,,1.04,,,1,,,2,,,5,,,19,,,C,
33,6,107.29,,,21.00,,,11.29,,,4.74,,,3.33,,,1,,,6,,,10,,,51,,,C,
34,6,154.47,,,24.17,,,15.39,,,6.19,,,4.04,,,1,,,8,,,19,,,79,,,C,
35,6,126.81,,,18.77,,,13.19,,,5.54,,,3.46,,,1,,,7,,,15,,,65,,,C,
36,6,70.41,,,12.20,,,7.43,,,3.35,,,2.17,,,1,,,4,,,9,,,35,,,C,
37,6,143.67,,,24.01,,,17.17,,,6.94,,,4.93,,,1,,,9,,,12,,,69,,,C,
38,6,39.75,,,8.28,,,3.69,,,2.12,,,1.03,,,1,,,2,,,6,,,19,,,C,
39,6,120.57,,,29.19,,,11.25,,,4.77,,,3.25,,,1,,,6,,,17,,,55,,,C,
40,6,91.67,,,18.78,,,9.33,,,4.03,,,2.75,,,1,,,5,,,12,,,43,,,C,
41,6,23.09,,,2.96,,,3.69,,,2.13,,,0.90,,,1,,,2,,,2,,,11,,,C,
42,6,41.29,,,5.48,,,4.99,,,2.85,,,1.50,,,1,,,3,,,5,,,21,,,C,
43,6,39.74,,,5.80,,,3.72,,,2.17,,,0.97,,,1,,,2,,,8,,,21,,,C,
44,6,82.15,,,14.13,,,7.33,,,3.34,,,2.03,,,1,,,4,,,13,,,43,,,C,
45,6,56.35,,,9.76,,,4.79,,,2.69,,,1.45,,,1,,,3,,,11,,,29,,,C,
46,6,82.72,,,16.88,,,7.50,,,3.30,,,1.97,,,1,,,4,,,12,,,41,,,C,
47,6,72.91,,,16.27,,,7.42,,,3.33,,,2.13,,,1,,,4,,,12,,,33,,,C,
48,6,76.05,,,12.16,,,7.38,,,3.45,,,1.95,,,1,,,4,,,14,,,39,,,C,
49,6,80.10,,,16.36,,,9.31,,,3.82,,,2.65,,,1,,,5,,,13,,,37,,,C,
50,6,64.04,,,8.02,,,7.44,,,3.41,,,1.92,,,1,,,4,,,9,,,33,,,C,
51,6,55.64,,,16.49,,,3.57,,,2.20,,,1.14,,,1,,,2,,,7,,,25,,,C,
52,6,70.38,,,14.75,,,7.35,,,3.26,,,2.29,,,1,,,4,,,4,,,32,,,C,
53,6,83.12,,,17.75,,,7.27,,,3.40,,,2.18,,,1,,,4,,,13,,,41,,,C,
54,6,124.06,,,24.60,,,11.37,,,4.69,,,3.35,,,1,,,6,,,13,,,61,,,C,
55,6,87.79,,,19.19,,,7.33,,,3.35,,,2.15,,,1,,,4,,,12,,,43,,,C,
56,6,111.32,,,17.04,,,13.27,,,5.35,,,3.48,,,1,,,7,,,13,,,55,,,C,
57,6,70.38,,,23.65,,,3.66,,,2.08,,,1.15,,,1,,,2,,,13,,,31,,,C,
58,6,82.73,,,16.74,,,9.12,,,3.96,,,2.53,,,1,,,5,,,5,,,39,,,C,
59,6,80.53,,,16.26,,,7.39,,,3.34,,,2.19,,,1,,,4,,,8,,,39,,,C,
60,6,99.41,,,25.06,,,7.30,,,3.33,,,2.23,,,1,,,4,,,14,,,47,,,C,
61,6,78.63,,,14.97,,,7.27,,,3.41,,,2.19,,,1,,,4,,,12,,,39,,,C,
62,6,88.35,,,26.04,,,4.87,,,2.65,,,1.78,,,1,,,3,,,13,,,41,,,C,
63,6,127.75,,,27.54,,,13.36,,,5.48,,,3.70,,,1,,,7,,,11,,,59,,,C,
64,6,86.62,,,24.50,,,4.89,,,2.82,,,1.72,,,1,,,3,,,13,,,41,,,C,
65,6,92.85,,,17.91,,,9.24,,,4.06,,,2.70,,,1,,,5,,,8,,,45,,,C,
66,6,96.34,,,17.57,,,11.36,,,4.69,,,3.16,,,1,,,6,,,12,,,45,,,C,
67,6,29.28,,,6.45,,,3.79,,,2.18,,,1.02,,,1,,,2,,,3,,,13,,,C,
68,6,58.76,,,10.13,,,4.95,,,2.74,,,1.48,,,1,,,3,,,9,,,31,,,C,
69,6,75.90,,,18.01,,,7.31,,,3.40,,,2.17,,,1,,,4,,,11,,,35,,,C,
70,6,98.26,,,20.53,,,9.06,,,3.97,,,2.79,,,1,,,5,,,13,,,47,,,C,
71,6,107.54,,,24.54,,,9.38,,,4.09,,,2.74,,,1,,,5,,,11,,,51,,,C,
72,6,25.88,,,3.32,,,4.90,,,2.65,,,1.45,,,1,,,3,,,4,,,11,,,C,
73,6,134.64,,,25.94,,,13.21,,,5.40,,,3.89,,,1,,,7,,,17,,,65,,,C,
74,6,127.46,,,17.45,,,15.26,,,6.26,,,3.95,,,1,,,8,,,11,,,65,,,C,
75,6,179.61,,,39.63,,,19.62,,,7.84,,,5.45,,,1,,,10,,,20,,,81,,,C,
