Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,7,109.87,,,44.54,,,3.25,,,1.92,,,1.22,,,1,,,2,,,15,,,43,,,C,
2,7,92.60,,,23.91,,,8.21,,,3.41,,,2.66,,,1,,,5,,,9,,,39,,,C,
3,7,203.55,,,65.57,,,9.97,,,4.11,,,3.42,,,1,,,6,,,20,,,85,,,C,
4,7,113.01,,,24.98,,,8.34,,,3.70,,,2.65,,,1,,,5,,,12,,,51,,,C,
5,7,109.09,,,26.14,,,8.49,,,3.72,,,2.40,,,1,,,5,,,13,,,49,,,C,
6,7,122.08,,,33.77,,,10.09,,,4.21,,,3.16,,,1,,,6,,,13,,,51,,,C,
7,7,112.25,,,20.89,,,8.32,,,3.62,,,2.37,,,1,,,5,,,13,,,55,,,C,
8,7,48.49,,,13.50,,,3.31,,,1.85,,,1.01,,,1,,,2,,,10,,,21,,,C,
9,7,77.01,,,13.94,,,8.23,,,3.49,,,2.59,,,1,,,5,,,5,,,35,,,C,
10,7,153.91,,,47.59,,,8.39,,,3.63,,,2.74,,,1,,,5,,,19,,,65,,,C,
11,7,72.30,,,12.36,,,6.52,,,2.87,,,1.78,,,1,,,4,,,8,,,35,,,C,
12,7,70.74,,,11.15,,,6.39,,,2.94,,,1.90,,,1,,,4,,,8,,,35,,,C,
13,7,126.73,,,20.90,,,10.03,,,4.03,,,2.78,,,1,,,6,,,16,,,63,,,C,
14,7,111.60,,,28.27,,,8.44,,,3.54,,,2.65,,,1,,,5,,,15,,,49,,,C,
15,7,79.33,,,19.46,,,6.48,,,2.95,,,2.11,,,1,,,4,,,8,,,35,,,C,
16,7,148.57,,,36.25,,,9.97,,,4.08,,,3.35,,,1,,,6,,,17,,,67,,,C,
17,7,77.75,,,9.34,,,8.14,,,3.50,,,2.32,,,1,,,5,,,7,,,39,,,C,
18,7,233.35,,,72.65,,,13.37,,,5.39,,,4.51,,,1,,,8,,,22,,,97,,,C,
19,7,188.31,,,46.40,,,13.61,,,5.39,,,3.79,,,1,,,8,,,23,,,85,,,C,
20,7,193.28,,,35.99,,,15.44,,,6.09,,,4.26,,,1,,,9,,,24,,,93,,,C,
21,7,98.78,,,30.75,,,4.26,,,2.41,,,1.65,,,1,,,3,,,10,,,43,,,C,
22,7,180.43,,,40.60,,,15.41,,,6.03,,,4.82,,,1,,,9,,,18,,,81,,,C,
23,7,164.78,,,47.42,,,11.90,,,4.69,,,3.70,,,1,,,7,,,20,,,69,,,C,
24,7,86.60,,,14.56,,,8.48,,,3.68,,,2.72,,,1,,,5,,,8,,,41,,,C,
25,7,54.46,,,9.48,,,4.54,,,2.44,,,1.37,,,1,,,3,,,7,,,27,,,C,
26,7,103.01,,,19.12,,,11.79,,,4.76,,,3.54,,,1,,,7,,,7,,,45,,,C,
27,7,138.80,,,31.23,,,8.20,,,3.49,,,2.46,,,1,,,5,,,19,,,67,,,C,
28,7,84.99,,,16.13,,,6.59,,,2.91,,,1.89,,,1,,,4,,,13,,,41,,,C,
29,7,107.53,,,40.96,,,3.25,,,1.98,,,1.20,,,1,,,2,,,17,,,43,,,C,
30,7,126.34,,,34.77,,,8.23,,,3.54,,,2.71,,,1,,,5,,,16,,,55,,,C,
31,7,141.02,,,43.27,,,8.20,,,3.43,,,2.81,,,1,,,5,,,14,,,59,,,C,
32,7,158.23,,,31.72,,,11.94,,,4.74,,,3.42,,,1,,,7,,,20,,,75,,,C,
33,7,132.67,,,29.98,,,11.79,,,4.84,,,3.80,,,1,,,7,,,11,,,59,,,C,
