Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,8,113.39,,,14.94,,,10.08,,,4.42,,,2.49,,,1,,,5,,,5,,,31,,,C,
2,8,170.16,,,30.97,,,12.40,,,5.18,,,3.06,,,1,,,6,,,8,,,45,,,C,
3,8,314.67,,,59.52,,,14.67,,,6.05,,,3.90,,,1,,,7,,,19,,,87,,,C,
4,8,140.27,,,20.79,,,10.07,,,4.48,,,2.56,,,1,,,5,,,9,,,39,,,C,
5,8,80.67,,,13.86,,,3.83,,,2.22,,,0.97,,,1,,,2,,,10,,,23,,,C,
6,8,279.35,,,38.13,,,16.83,,,7.06,,,4.33,,,1,,,8,,,16,,,79,,,C,
7,8,195.69,,,43.41,,,5.25,,,2.85,,,1.74,,,1,,,3,,,17,,,53,,,C,
8,8,186.21,,,25.53,,,10.09,,,4.64,,,2.77,,,1,,,5,,,11,,,53,,,C,
9,8,113.41,,,15.74,,,5.20,,,2.89,,,1.42,,,1,,,3,,,10,,,33,,,C,
10,8,169.80,,,28.05,,,8.00,,,3.72,,,2.24,,,1,,,4,,,12,,,47,,,C,
11,8,229.87,,,36.75,,,12.42,,,5.49,,,3.37,,,1,,,6,,,12,,,63,,,C,
12,8,135.35,,,13.74,,,10.29,,,4.64,,,2.35,,,1,,,5,,,6,,,39,,,C,
13,8,162.07,,,17.80,,,12.41,,,5.54,,,3.36,,,1,,,6,,,8,,,45,,,C,
14,8,147.79,,,22.11,,,7.96,,,3.86,,,2.21,,,1,,,4,,,11,,,41,,,C,
15,8,268.55,,,49.91,,,14.72,,,6.11,,,3.89,,,1,,,7,,,18,,,71,,,C,
16,8,142.82,,,10.20,,,12.61,,,5.45,,,2.82,,,1,,,6,,,8,,,41,,,C,
17,8,98.70,,,10.55,,,5.35,,,2.96,,,1.36,,,1,,,3,,,6,,,29,,,C,
18,8,234.24,,,28.29,,,12.76,,,5.36,,,2.94,,,1,,,6,,,17,,,67,,,C,
19,8,115.48,,,13.52,,,10.31,,,4.59,,,2.67,,,1,,,5,,,6,,,31,,,C,
20,8,76.24,,,10.24,,,5.45,,,3.02,,,1.52,,,1,,,3,,,5,,,21,,,C,
21,8,197.55,,,26.27,,,12.69,,,5.32,,,3.33,,,1,,,6,,,11,,,55,,,C,
22,8,165.74,,,23.34,,,8.10,,,3.80,,,1.99,,,1,,,4,,,16,,,47,,,C,
23,8,45.63,,,4.39,,,4.08,,,2.35,,,0.86,,,1,,,2,,,3,,,13,,,C,
24,8,78.97,,,8.99,,,7.93,,,3.75,,,2.04,,,1,,,4,,,4,,,21,,,C,
25,8,258.25,,,53.33,,,12.65,,,5.29,,,3.37,,,1,,,6,,,19,,,67,,,C,
26,8,175.71,,,23.29,,,8.00,,,3.86,,,2.03,,,1,,,4,,,14,,,51,,,C,
27,8,210.82,,,37.04,,,10.28,,,4.59,,,2.81,,,1,,,5,,,16,,,57,,,C,
28,8,204.52,,,18.95,,,17.33,,,7.16,,,3.75,,,1,,,8,,,8,,,57,,,C,
29,8,27.63,,,3.20,,,3.84,,,2.36,,,0.93,,,1,,,2,,,3,,,7,,,C,
30,8,74.87,,,10.45,,,8.02,,,3.81,,,2.03,,,1,,,4,,,5,,,19,,,C,
31,8,179.29,,,25.29,,,8.04,,,3.75,,,2.09,,,1,,,4,,,11,,,51,,,C,
32,8,50.46,,,7.19,,,5.35,,,2.89,,,1.43,,,1,,,3,,,3,,,13,,,C,
33,8,231.98,,,33.16,,,12.69,,,5.49,,,2.88,,,1,,,6,,,21,,,65,,,C,
34,8,184.92,,,28.89,,,12.52,,,5.45,,,3.27,,,1,,,6,,,10,,,49,,,C,
35,8,299.66,,,58.04,,,15.04,,,6.22,,,4.05,,,1,,,7,,,21,,,79,,,C,
36,8,273.17,,,56.54,,,12.64,,,5.47,,,3.49,,,1,,,6,,,19,,,71,,,C,
37,8,160.89,,,25.62,,,10.41,,,4.70,,,2.65,,,1,,,5,,,12,,,43,,,C,
38,8,123.15,,,16.77,,,10.15,,,4.55,,,2.60,,,1,,,5,,,5,,,33,,,C,
39,8,267.85,,,46.55,,,15.27,,,6.20,,,3.95,,,1,,,7,,,14,,,71,,,C,
40,8,303.31,,,52.01,,,17.74,,,7.06,,,4.42,,,1,,,8,,,21,,,81,,,C,
41,8,132.76,,,14.59,,,10.32,,,4.60,,,2.32,,,1,,,5,,,8,,,37,,,C,
42,8,182.69,,,30.33,,,10.10,,,4.58,,,2.78,,,1,,,5,,,10,,,49,,,C,
