Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
1,1,4.05,3.98,0.98,0.39,0.36,0.93,1.75,1.73,0.99,1.20,1.13,0.94,0.33,0.39,1.18,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
2,1,6.46,6.47,1.00,0.75,0.77,1.04,2.71,2.77,1.02,1.56,1.56,1.00,0.74,0.66,0.89,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
3,1,6.58,6.46,0.98,0.78,0.74,0.94,2.74,2.64,0.96,1.66,1.55,0.93,0.65,0.72,1.10,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
4,1,6.42,6.37,0.99,0.75,0.77,1.03,2.72,2.66,0.98,1.56,1.52,0.97,0.67,0.73,1.09,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
5,1,6.41,6.43,1.00,0.76,0.71,0.93,2.68,2.73,1.02,1.51,1.56,1.04,0.75,0.71,0.94,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
6,1,9.14,9.01,0.99,1.17,1.10,0.94,3.77,3.71,0.99,1.96,2.07,1.05,1.09,1.05,0.97,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
7,1,8.67,8.94,1.03,1.10,1.12,1.02,3.53,3.66,1.04,1.89,1.99,1.05,1.07,1.09,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
8,1,4.02,3.92,0.98,0.38,0.41,1.08,1.73,1.61,0.93,1.17,1.11,0.95,0.36,0.39,1.10,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
9,1,6.29,6.50,1.03,0.73,0.78,1.07,2.65,2.73,1.03,1.51,1.54,1.02,0.67,0.74,1.10,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
10,1,8.87,8.97,1.01,1.09,1.15,1.06,3.66,3.60,0.98,1.93,2.00,1.04,1.06,1.12,1.06,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
11,1,8.93,9.05,1.01,1.06,1.14,1.07,3.67,3.78,1.03,1.96,1.98,1.01,1.11,1.07,0.97,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
12,1,6.31,6.56,1.04,0.68,0.77,1.13,2.67,2.72,1.02,1.53,1.62,1.06,0.70,0.72,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
13,1,6.39,6.44,1.01,0.74,0.71,0.96,2.62,2.72,1.04,1.56,1.58,1.01,0.71,0.73,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
14,1,8.85,8.90,1.01,1.09,1.16,1.06,3.60,3.63,1.01,1.99,2.00,1.00,1.06,1.04,0.98,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
15,1,6.48,6.39,0.99,0.75,0.76,1.01,2.69,2.74,1.02,1.60,1.51,0.94,0.73,0.69,0.94,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
16,1,8.98,8.91,0.99,1.12,1.15,1.03,3.70,3.63,0.98,1.91,1.94,1.01,1.09,1.06,0.97,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
17,1,3.91,4.06,1.04,0.37,0.39,1.06,1.68,1.83,1.09,1.15,1.11,0.97,0.35,0.37,1.05,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
18,1,8.83,9.04,1.02,1.13,1.11,0.98,3.58,3.73,1.04,1.96,2.04,1.04,1.08,1.05,0.97,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
19,1,8.85,8.92,1.01,1.08,1.16,1.07,3.67,3.64,0.99,1.95,1.95,1.00,1.03,1.10,1.06,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
20,1,4.07,4.07,1.00,0.41,0.36,0.88,1.74,1.80,1.04,1.19,1.19,1.00,0.36,0.36,0.98,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
21,1,6.42,6.53,1.02,0.77,0.78,1.01,2.68,2.66,0.99,1.54,1.58,1.03,0.70,0.75,1.07,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
22,1,3.99,3.91,0.98,0.39,0.37,0.94,1.72,1.70,0.99,1.15,1.15,1.00,0.35,0.33,0.93,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
23,1,6.48,6.46,1.00,0.72,0.76,1.06,2.69,2.65,0.99,1.58,1.60,1.01,0.75,0.72,0.96,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
24,1,8.70,8.96,1.03,1.05,1.13,1.08,3.56,3.69,1.04,1.93,1.97,1.02,1.02,1.04,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
25,1,6.51,6.39,0.98,0.74,0.74,1.00,2.66,2.64,0.99,1.67,1.59,0.95,0.73,0.70,0.96,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
26,1,8.95,8.88,0.99,1.10,1.16,1.06,3.67,3.65,0.99,1.97,1.94,0.98,1.02,1.05,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
27,1,6.60,6.67,1.01,0.74,0.81,1.09,2.78,2.75,0.99,1.58,1.58,1.00,0.75,0.74,1.00,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
28,1,4.03,4.03,1.00,0.38,0.38,1.02,1.74,1.73,1.00,1.19,1.21,1.01,0.34,0.33,0.97,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
29,1,8.81,9.02,1.02,1.06,1.14,1.08,3.63,3.74,1.03,1.94,1.95,1.01,1.03,1.07,1.04,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
30,1,6.47,6.50,1.00,0.76,0.79,1.04,2.65,2.63,0.99,1.57,1.61,1.03,0.72,0.73,1.01,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
31,1,8.81,8.93,1.01,1.06,1.13,1.07,3.61,3.65,1.01,1.95,1.96,1.00,1.06,1.09,1.03,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
32,1,8.77,8.95,1.02,1.04,1.22,1.17,3.68,3.57,0.97,1.94,2.03,1.05,1.05,1.07,1.03,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
